"ID","SITE","STRAT","UNIT","NAMED_ID","OTHERUNIT","RAWMATERIAL","CORTEX","CORTEXTYPE","ARTIFACTCLASS","COMPLETENESS","CORECOMPLETENESS","RETOUCHEDPIECETYPOLOGY","RETOUCHTYPE","RETOUCHFACE","RETOUCHREGIONNUMBER","RETOUCHREGIONLOCATION","LENGTHLONGESTRETOUCH","RETOUCHINVASIVENESS","EDGETHICKNESS_1","EDGETHICKNESS_2","EDGETHICKNESS_3","BACKEDTOOLEDGE_1","BACKEDTOOLEDGE_2","BACKEDTOOLEDGE_3","BACKEDTOOLWIDTH_1","BACKEDTOOLWIDTH_2","BACKEDTOOLWIDTH_3","BACKEDTOOLTHICKNESS_1","BACKEDTOOLTHICKNESS_2","BACKEDTOOLTHICKNESS_3","BACKEDTOOLARRIS","PLATFORM","FLAKEINITIATION","FLAKETERMINATION","PIECEBLANK","SCRAPERMAXTHICKNESS","SCRAPERRETOUCHLENGTH","SCRAPERRETOUCHANGLE1","SCRAPERRETOUCHANGLE2","SCRAPERRETOUCHANGLE3","SCRAPERDORSALANGLE1","SCRAPERDORSALANGLE2","SCRAPERDORSALANGLE3","SCRAPERRETOUCHHEIGHT1","SCRAPERRETOUCHHEIGHT2","SCRAPERRETOUCHHEIGHT3","FLAKEGEOMETRY","PLATFORMPREP","PLATABRASION","PLATFORMWIDTH","PLATFORMTHICKNESS","STAGE","CONARDUNIFIEDTYPE","CORESUBTYPOLOGY","COREBLANKSPHERICITY","COREPLATFACETED","SCARCOUNT","EXPLOITEDFACES","FLAKEGENERATIONSLENGTH","FLAKEGENERATIONSWIDTH","FLAKEGENERATIONSTHICKNESS","LENGHTLONGESTFLAKESCAR","MAXLENGTH","TECHLENGTH","MAXWIDTH","TECHWIDTH","MAXTHICKNESS","MASS","COMMMENTS","PHOTO"
"478","SBF","4a","J3","Lower Furnace (Somephinx)","","Silcrete","0%","","Flake","Fragment","","","","","","",,"",,,,,,,,,,,,,,"","","","",,,,,,,,,,,,"KITE","","",,,"","","","","",,,,,,,20.44,,11.06,,5.82,0.89,"","N"
"479","SBF","4a","J3","Lower Furnace (Somephinx)","","Opaline/CCS","0%","","Core","","Complete","","","","","",,"",,,,,,,,,,,,,,"","","","",,,,,,,,,,,,"","","",,,"","Bipolar","Bladelet","Cubic","0%",3,2,2,0,6,14.17,17.37,,16.1,,4.67,1.55,"","N"
"480","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","0%","","Core","","Complete","","","","","",,"",,,,,,,,,,,,,,"","","","",,,,,,,,,,,,"","","",,,"","Bipolar","RiceGrain","Spherical","0%",3,2,0,4,6,16.38,17.21,,7.68,,3.32,0.51,"","N"
"48","SBF","4b","I4","Witch 2","","Quartz","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Indeterminate","",,,,,,,,,,,,"RHOMBUS","Indeterminate","No",3.45,1.19,"Main","","","","",,,,,,,12.66,8.14,12.24,6.91,1.16,0.15,"","N"
"481","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","0%","","Flake","Proximal","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","","",,,,,,,,,,,,"RECTANGULAR","NotPrepared","No",11.66,3.51,"","","","","",,,,,,,20.62,,16.9,,4.89,2.35,"","N"
"482","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartzite","0%","","Core","","Complete","","","","","",,"",,,,,,,,,,,,,,"","","","",,,,,,,,,,,,"","","",,,"","Platform","Irregular","Cubic","0%",6,5,5,6,10,27.81, 76.43,,41.93,,28.09,135.82,"","N"
"483","SBF","2","K3","Hawk 3b (Lower)","","Quartz","0%","","Flake","Mesial","","","","","","",,"",,,,,,,,,,,,,,"","","","",,,,,,,,,,,,"RECTANGULAR","","",,,"","","","","",,,,,,,11.66,,11.17,,3.01,0.5,"","N"
"484","SBF","2","K3","Hawk 3b (Lower)","","Quartz","0%","","Flake","Distal","","","","","","",,"",,,,,,,,,,,,,,"","","Feather","",,,,,,,,,,,,"TRIANGULAR","","",,,"","","","","",,,,,,,14.84,,12.83,,2.76,0.63,"","N"
"485","SBF","2","K3","Hawk 3b (Lower)","","Quartz","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Bending","Feather","",,,,,,,,,,,,"TRIANGULAR","NotPrepared","No",19.43,3.62,"Main","","","","",,,,,,,12.53,11.15,20.5,18.7,3.63,1.43,"","N"
"486","SBF","2","K3","Hawk 3b (Lower)","","Quartzite","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Feather","",,,,,,,,,,,,"TRAPEZOIDAL","NotPrepared","No",14.18,5.25,"Main","","","","",,,,,,,11.66,9.85,14.35,11.5,4.71,0.73,"","N"
"487","SBF","2","K3","Hawk 3b (Lower)","","Quartz","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Feather","",,,,,,,,,,,,"KITE","NotPrepared","No",7.89,4.52,"Main","","","","",,,,,,,41.04,41.04,24.9,22.22,3.71,6.74,"","N"
"488","SBF","2","K3","Hawk 3 (Lower)","","Hornfels","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Feather","",,,,,,,,,,,,"RECTANGULAR","NotPrepared","No",7.18,1.35,"Main","","","","",,,,,,,13.02,9.96,9.52,8.42,1.47,0.21,"","N"
"489","SBF","2","K3","Hawk 3 (Lower)","","Quartzite","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Bending","Feather","",,,,,,,,,,,,"RECTANGULAR","NotPrepared","Yes",45.93,19.17,"CoreMaintenance","","","","",,,,,,,10.65,10.65,50.33,50.33,11.97,11.7,"","N"
"490","SBF","2","K3","Hawk 3 (Lower)","","Quartzite","0%","","Core","","Complete","","","","","",,"",,,,,,,,,,,,,,"","","","",,,,,,,,,,,,"","","",,,"","Platform","Irregular","Cubic","0%",4,4,3,7,5,63.43,67.77,,46.39,,28.54,106.49,"","N"
