ID,SITE,STRAT,UNIT,NAMED_ID,OTHERUNIT,RAWMATERIAL,CORTEX,CORTEXTYPE,ARTIFACTCLASS,COMPLETENESS,CORECOMPLETENESS,RETOUCHEDPIECETYPOLOGY,RETOUCHTYPE,RETOUCHFACE,RETOUCHREGIONNUMBER,RETOUCHREGIONLOCATION,LENGTHLONGESTRETOUCH,RETOUCHINVASIVENESS,EDGETHICKNESS_1,EDGETHICKNESS_2,EDGETHICKNESS_3,BACKEDTOOLEDGE_1,BACKEDTOOLEDGE_2,BACKEDTOOLEDGE_3,BACKEDTOOLWIDTH_1,BACKEDTOOLWIDTH_2,BACKEDTOOLWIDTH_3,BACKEDTOOLTHICKNESS_1,BACKEDTOOLTHICKNESS_2,BACKEDTOOLTHICKNESS_3,BACKEDTOOLARRIS,PLATFORM,FLAKEINITIATION,FLAKETERMINATION,PIECEBLANK,SCRAPERMAXTHICKNESS,SCRAPERRETOUCHLENGTH,SCRAPERRETOUCHANGLE1,SCRAPERRETOUCHANGLE2,SCRAPERRETOUCHANGLE3,SCRAPERDORSALANGLE1,SCRAPERDORSALANGLE2,SCRAPERDORSALANGLE3,SCRAPERRETOUCHHEIGHT1,SCRAPERRETOUCHHEIGHT2,SCRAPERRETOUCHHEIGHT3,FLAKEGEOMETRY,PLATFORMPREP,PLATABRASION,PLATFORMWIDTH,PLATFORMTHICKNESS,STAGE,CONARDUNIFIEDTYPE,CORESUBTYPOLOGY,COREBLANKSPHERICITY,COREPLATFACETED,SCARCOUNT,EXPLOITEDFACES,FLAKEGENERATIONSLENGTH,FLAKEGENERATIONSWIDTH,FLAKEGENERATIONSTHICKNESS,LENGHTLONGESTFLAKESCAR,MAXLENGTH,TECHLENGTH,MAXWIDTH,TECHWIDTH,MAXTHICKNESS,MASS,COMMMENTS,PHOTO,
11,SBF,2,K4,BROWN WASP,,Quartz,40-60%,Cobble,Flake,Mesial,,,,,,,,,,,,,,,,,,,,,,No,,Hinge,,,,,,,,,,,,,RECTANGULAR,,,,,,,,,,,,,,,,38.9,,26.11,,13.98,15.01,,,
12,SBF,2,K4,BROWN WASP,,Quartz,1-10%,Cobble,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Overshot,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,11.66,2.27,CoreMaintenance,,,,,,,,,,,6.06,6.06,12.93,12.93,3.67,0.2,,,
13,SBF,2,K4,FALCON,,Quartzite,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,Yes,3.9,11.7,Main,,,,,,,,,,,17.28,11.88,13.51,11.45,4.86,0.85,,,
14,SBF,2,K4,FALCON,,Quartzite,0%,,Flake,Fragment,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,37.28,15.99,,,,,,,,,,,,41.32,,42.84,,19.15,25.07,,,
15,SBF,2,K4,FALCON,,Quartz,0%,,Core,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bipolar,RiceGrain,Cubic,0%,3,3,0,2,2,3.12,9.95,9.95,4.46,4.46,3.63,0.22,,,
16,SBF,2,K4,FALCON,,Quartz,0%,,RetouchedTool,Fragment,,MinimallyRetouched,MarginalEdgeShaping,Ventral,3,234,2.3,1,2.69,1.99,2.35,,,,,,,,,,,,,,Flake,,,,,,,,,,,,RECTANGULAR,,,,,,,,,,,,,,,,19.68,,13.88,,2.17,0.69,,,
17,SBF,2,K4,FALCON,,Silcrete,0%,,RetouchedTool,Fragment,,MinimallyRetouched,MarginalEdgeShaping,Both,4,4578,0.94,1,0.95,1.89,2.5,,,,,,,,,,,,,,Flake,,,,,,,,,,,,RECTANGULAR,,,,,,,,,,,,,,,,17.94,,24.34,,5.52,2.55,,,
18,SBF,2,K4,VT,,Quartzite,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Hinge,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,30.45,7.94,Main,,,,,,,,,,,17.42,14.82,36.32,36.32,7.88,5.9,,,
19,SBF,2,K4,VT,,Quartzite,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Wedging,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,10.23,3.23,Main,,,,,,,,,,,13.98,10.75,21.26,17.52,5.05,1.14,,,
20,SBF,2,K4,VT,,Quartzite,0%,,Core,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platform,Irregular,Cubic,0%,5,4,1,4,4,16.28,34.71,31.09,24.88,24.88,15.97,10.73,,,
